workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,0,color,1,left,Red_Triangle_Stripes_2.jpg,Red_Circle_Chess_3.jpg,Blue_Triangle_Grid_1.jpg,right,1002,false,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,1,color,0,right,Red_Circle_Stripes_2.jpg,Blue_Circle_Chess_4.jpg,Red_Triangle_Grid_3.jpg,right,758,true,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,2,color,1,right,Blue_Circle_Grid_4.jpg,Purple_Circle_Chess_2.jpg,Blue_Plus_Stripes_3.jpg,right,1820,true,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,3,color,1,left,Blue_Plus_Grid_1.jpg,Blue_Triangle_Dots_4.jpg,Red_Plus_Chess_2.jpg,left,773,true,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,4,color,1,left,Blue_Triangle_Dots_1.jpg,Blue_Plus_Grid_4.jpg,Red_Triangle_Chess_3.jpg,left,930,true,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,5,color,0,right,Red_Star_Stripes_3.jpg,Blue_Star_Dots_4.jpg,Red_Plus_Grid_1.jpg,right,617,true,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,6,color,1,right,Blue_Plus_Chess_3.jpg,Green_Plus_Stripes_4.jpg,Blue_Star_Dots_2.jpg,right,798,true,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,7,color,1,right,Blue_Star_Stripes_2.jpg,Purple_Star_Chess_3.jpg,Blue_Triangle_Grid_1.jpg,right,642,true,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,8,color,1,left,Purple_Star_Chess_4.jpg,Purple_Circle_Stripes_2.jpg,Green_Star_Dots_3.jpg,left,758,true,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,9,color,0,right,Green_Star_Stripes_4.jpg,Red_Star_Grid_2.jpg,Green_Plus_Dots_3.jpg,right,755,true,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,10,color,1,left,Green_Triangle_Dots_2.jpg,Green_Star_Chess_1.jpg,Red_Triangle_Grid_4.jpg,left,1665,true,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,11,color,1,right,Green_Triangle_Grid_3.jpg,Purple_Triangle_Stripes_2.jpg,Green_Plus_Chess_1.jpg,right,1240,true,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,12,color,1,right,Green_Plus_Dots_1.jpg,Red_Plus_Grid_2.jpg,Green_Star_Stripes_4.jpg,right,1289,true,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,13,color,0,left,Blue_Plus_Grid_1.jpg,Blue_Circle_Dots_4.jpg,Purple_Plus_Stripes_2.jpg,none,0,false,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,14,color,1,right,Red_Circle_Grid_4.jpg,Green_Circle_Stripes_3.jpg,Red_Plus_Dots_2.jpg,right,1473,true,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,15,color,1,right,Green_Circle_Stripes_2.jpg,Red_Circle_Chess_4.jpg,Green_Triangle_Dots_1.jpg,right,616,true,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,16,color,0,left,Green_Plus_Grid_2.jpg,Green_Circle_Stripes_4.jpg,Blue_Plus_Dots_3.jpg,left,764,true,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,17,color,0,left,Purple_Star_Chess_3.jpg,Purple_Triangle_Dots_2.jpg,Blue_Star_Stripes_1.jpg,left,714,true,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,18,color,1,right,Purple_Triangle_Grid_1.jpg,Red_Triangle_Dots_4.jpg,Purple_Plus_Chess_3.jpg,right,675,true,NA,NA,NA,NA,NA,NA,NA,NA,true
MndBfPl7,36d1bwbeiqeywas4c57kpjvh4xs2mi,3dqq64tankysgdli97tlje1swu8pw7,MndBfPl7,2020-0188,2020-05-07,14:37:07,15:00:08,NA,incomplete,19,color,1,left,Purple_Triangle_Stripes_1.jpg,Purple_Plus_Dots_3.jpg,Green_Triangle_Chess_2.jpg,left,756,true,NA,NA,NA,NA,NA,NA,NA,NA,true
