workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,sequence,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,0,filling,0,1,left,Purple_Circle_Grid_2.jpg,Green_Triangle_Grid_4.jpg,Red_Star_Dots_2.jpg,none,0,false,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,1,filling,0,1,right,Blue_Star_Chess_4.jpg,Red_Plus_Grid_4.jpg,Purple_Circle_Chess_1.jpg,right,500.32000010833144,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,2,filling,0,1,left,Blue_Circle_Stripes_2.jpg,Red_Plus_Stripes_3.jpg,Purple_Star_Dots_2.jpg,left,1301.10999988392,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,3,filling,0,1,right,Red_Circle_Stripes_2.jpg,Green_Triangle_Grid_2.jpg,Purple_Star_Stripes_1.jpg,right,1339.4450000487268,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,4,filling,0,1,right,Red_Star_Dots_2.jpg,Green_Plus_Chess_2.jpg,Purple_Circle_Dots_3.jpg,right,1346.9899999909103,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,5,filling,0,1,left,Green_Triangle_Dots_3.jpg,Blue_Plus_Dots_2.jpg,Purple_Circle_Chess_3.jpg,left,1262.489999877289,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,6,filling,0,0,left,Blue_Circle_Grid_2.jpg,Green_Plus_Grid_3.jpg,Purple_Star_Dots_2.jpg,left,1175.0000000465661,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,7,filling,0,1,left,Blue_Plus_Grid_3.jpg,Green_Circle_Grid_2.jpg,Purple_Star_Dots_3.jpg,left,1141.950000077486,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,8,filling,0,0,left,Purple_Circle_Chess_2.jpg,Red_Triangle_Chess_1.jpg,Blue_Plus_Grid_2.jpg,left,1060.774999903515,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,9,filling,0,1,left,Purple_Triangle_Grid_4.jpg,Blue_Plus_Grid_2.jpg,Green_Circle_Dots_4.jpg,left,1318.5050000902265,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,10,filling,0,1,left,Red_Plus_Chess_4.jpg,Purple_Triangle_Chess_2.jpg,Green_Star_Grid_4.jpg,left,1375.715000089258,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,11,filling,0,1,left,Purple_Circle_Dots_4.jpg,Blue_Plus_Dots_3.jpg,Red_Triangle_Chess_4.jpg,left,1261.5799999330193,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,12,filling,0,1,right,Purple_Circle_Stripes_3.jpg,Red_Star_Dots_3.jpg,Blue_Plus_Stripes_1.jpg,right,1188.4449999779463,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,13,filling,0,1,right,Green_Plus_Grid_1.jpg,Purple_Star_Chess_1.jpg,Blue_Circle_Grid_4.jpg,right,1341.5549998171628,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,14,filling,0,1,left,Green_Circle_Chess_1.jpg,Red_Plus_Chess_2.jpg,Blue_Triangle_Grid_1.jpg,left,1129.3099999893457,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,15,filling,0,1,left,Blue_Circle_Stripes_3.jpg,Red_Triangle_Stripes_2.jpg,Green_Plus_Chess_3.jpg,left,1120.250000152737,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,16,filling,0,1,left,Green_Star_Stripes_4.jpg,Blue_Triangle_Stripes_3.jpg,Purple_Circle_Dots_4.jpg,left,891.2649999838322,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,17,filling,0,0,right,Blue_Star_Stripes_4.jpg,Green_Triangle_Grid_4.jpg,Red_Plus_Stripes_3.jpg,right,1133.0099999904633,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,18,filling,0,1,left,Blue_Plus_Chess_2.jpg,Purple_Triangle_Chess_4.jpg,Green_Circle_Dots_2.jpg,left,1088.4499999228865,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,19,filling,0,1,left,Red_Star_Chess_2.jpg,Green_Triangle_Chess_3.jpg,Purple_Circle_Grid_2.jpg,left,1230.83999985829,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,20,number,1,1,left,Blue_Circle_Dots_3.jpg,Red_Triangle_Stripes_3.jpg,Purple_Star_Dots_1.jpg,right,1359.4649999868125,false,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,21,number,1,1,right,Green_Circle_Dots_2.jpg,Purple_Triangle_Dots_3.jpg,Red_Plus_Stripes_2.jpg,right,1459.0149999130517,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,22,number,1,1,left,Green_Plus_Dots_4.jpg,Purple_Star_Grid_4.jpg,Blue_Circle_Dots_1.jpg,left,998.7649999093264,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,23,number,1,1,left,Green_Plus_Dots_4.jpg,Purple_Star_Chess_4.jpg,Blue_Circle_Dots_2.jpg,left,830.6050000246614,true,NA,NA,NA,NA,NA,NA,NA,NA,true
vQdJHg9y,3e9vauv7czrnvucm8noapw1mqoqyaq,3tmfv4nepcr7alm1nqraxs62cju8wv,vQdJHg9y,2020-0188,2020-06-04,10:36:42,10:58:33,NA,incomplete,24,number,1,1,left,Green_Circle_Grid_1.jpg,Purple_Plus_Stripes_1.jpg,Red_Star_Grid_3.jpg,left,864.2849999014288,true,NA,NA,NA,NA,NA,NA,NA,NA,true
