workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,sequence,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,age,race,gender,ethnicity,color,vision,neuro,practice
Do6i9Sv4,3ba7sxog2m30f57lxuc2l92uxdc8rv,34s6n1k2zzwks2bvmgee1uilhvglhu,Do6i9Sv4,2020-0188,2020-06-04,09:37:05,09:54:50,NA,incomplete,0,color,0,1,left,Red_Plus_Chess_1.jpg,Red_Triangle_Dots_3.jpg,Purple_Star_Stripes_1.jpg,none,0,false,NA,NA,NA,NA,NA,NA,NA,NA,true
Do6i9Sv4,3ba7sxog2m30f57lxuc2l92uxdc8rv,34s6n1k2zzwks2bvmgee1uilhvglhu,Do6i9Sv4,2020-0188,2020-06-04,09:37:05,09:54:50,NA,incomplete,1,color,0,1,left,Blue_Triangle_Chess_4.jpg,Blue_Star_Dots_2.jpg,Red_Plus_Grid_4.jpg,left,780.3549999371171,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Do6i9Sv4,3ba7sxog2m30f57lxuc2l92uxdc8rv,34s6n1k2zzwks2bvmgee1uilhvglhu,Do6i9Sv4,2020-0188,2020-06-04,09:37:05,09:54:50,NA,incomplete,2,color,0,1,right,Blue_Circle_Dots_1.jpg,Red_Star_Stripes_1.jpg,Blue_Plus_Chess_3.jpg,right,558.6099999491125,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Do6i9Sv4,3ba7sxog2m30f57lxuc2l92uxdc8rv,34s6n1k2zzwks2bvmgee1uilhvglhu,Do6i9Sv4,2020-0188,2020-06-04,09:37:05,09:54:50,NA,incomplete,3,color,0,1,right,Purple_Star_Dots_1.jpg,Red_Circle_Chess_1.jpg,Purple_Plus_Stripes_4.jpg,right,494.21999999322,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Do6i9Sv4,3ba7sxog2m30f57lxuc2l92uxdc8rv,34s6n1k2zzwks2bvmgee1uilhvglhu,Do6i9Sv4,2020-0188,2020-06-04,09:37:05,09:54:50,NA,incomplete,4,color,0,1,left,Red_Circle_Dots_3.jpg,Red_Triangle_Chess_1.jpg,Green_Plus_Stripes_3.jpg,left,746.419999981299,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Do6i9Sv4,3ba7sxog2m30f57lxuc2l92uxdc8rv,34s6n1k2zzwks2bvmgee1uilhvglhu,Do6i9Sv4,2020-0188,2020-06-04,09:37:05,09:54:50,NA,incomplete,5,color,0,1,left,Blue_Circle_Stripes_3.jpg,Blue_Star_Dots_4.jpg,Red_Plus_Chess_3.jpg,left,529.3499999679625,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Do6i9Sv4,3ba7sxog2m30f57lxuc2l92uxdc8rv,34s6n1k2zzwks2bvmgee1uilhvglhu,Do6i9Sv4,2020-0188,2020-06-04,09:37:05,09:54:50,NA,incomplete,6,color,0,1,right,Blue_Star_Chess_1.jpg,Green_Plus_Dots_1.jpg,Blue_Triangle_Stripes_2.jpg,right,589.414999820292,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Do6i9Sv4,3ba7sxog2m30f57lxuc2l92uxdc8rv,34s6n1k2zzwks2bvmgee1uilhvglhu,Do6i9Sv4,2020-0188,2020-06-04,09:37:05,09:54:50,NA,incomplete,7,color,0,1,left,Red_Star_Stripes_4.jpg,Red_Circle_Grid_2.jpg,Blue_Plus_Chess_4.jpg,left,628.4999998752028,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Do6i9Sv4,3ba7sxog2m30f57lxuc2l92uxdc8rv,34s6n1k2zzwks2bvmgee1uilhvglhu,Do6i9Sv4,2020-0188,2020-06-04,09:37:05,09:54:50,NA,incomplete,8,color,0,1,right,Green_Circle_Dots_1.jpg,Purple_Star_Chess_1.jpg,Green_Plus_Grid_4.jpg,right,621.369999833405,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Do6i9Sv4,3ba7sxog2m30f57lxuc2l92uxdc8rv,34s6n1k2zzwks2bvmgee1uilhvglhu,Do6i9Sv4,2020-0188,2020-06-04,09:37:05,09:54:50,NA,incomplete,9,color,0,1,left,Purple_Circle_Chess_2.jpg,Purple_Triangle_Grid_1.jpg,Red_Star_Dots_2.jpg,left,514.5799999590963,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Do6i9Sv4,3ba7sxog2m30f57lxuc2l92uxdc8rv,34s6n1k2zzwks2bvmgee1uilhvglhu,Do6i9Sv4,2020-0188,2020-06-04,09:37:05,09:54:50,NA,incomplete,10,color,0,1,left,Blue_Star_Grid_1.jpg,Blue_Triangle_Stripes_4.jpg,Purple_Circle_Dots_1.jpg,left,573.0000000912696,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Do6i9Sv4,3ba7sxog2m30f57lxuc2l92uxdc8rv,34s6n1k2zzwks2bvmgee1uilhvglhu,Do6i9Sv4,2020-0188,2020-06-04,09:37:05,09:54:50,NA,incomplete,11,color,0,0,left,Blue_Triangle_Stripes_3.jpg,Blue_Plus_Dots_1.jpg,Green_Circle_Chess_3.jpg,left,528.2700001262128,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Do6i9Sv4,3ba7sxog2m30f57lxuc2l92uxdc8rv,34s6n1k2zzwks2bvmgee1uilhvglhu,Do6i9Sv4,2020-0188,2020-06-04,09:37:05,09:54:50,NA,incomplete,12,color,0,0,left,Purple_Triangle_Chess_1.jpg,Purple_Circle_Grid_2.jpg,Green_Plus_Stripes_1.jpg,left,474.4349999818951,true,NA,NA,NA,NA,NA,NA,NA,NA,true
Do6i9Sv4,3ba7sxog2m30f57lxuc2l92uxdc8rv,34s6n1k2zzwks2bvmgee1uilhvglhu,Do6i9Sv4,2020-0188,2020-06-04,09:37:05,09:54:50,NA,incomplete,13,color,0,0,left,Red_Triangle_Dots_4.jpg,Red_Star_Chess_1.jpg,Purple_Plus_Stripes_4.jpg,left,574.9149997718632,true,NA,NA,NA,NA,NA,NA,NA,NA,true
