workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,sequence,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
mfMGbpWM,3ha5odm5ld5arw3bkcnh3xryudvvsa,3kakfy4pgyf38twqmssz5kpjhm43ir,mfMGbpWM,2020-0188,2020-06-04,10:44:43,11:03:14,NA,incomplete,0,shape,0,1,left,Red_Circle_Grid_2.jpg,Green_Circle_Dots_1.jpg,Blue_Star_Chess_2.jpg,left,1126.3099999923725,true,NA,true
mfMGbpWM,3ha5odm5ld5arw3bkcnh3xryudvvsa,3kakfy4pgyf38twqmssz5kpjhm43ir,mfMGbpWM,2020-0188,2020-06-04,10:44:43,11:03:14,NA,incomplete,1,shape,0,0,left,Blue_Triangle_Chess_1.jpg,Purple_Triangle_Grid_2.jpg,Green_Circle_Dots_1.jpg,left,1017.8500000038184,true,NA,true
mfMGbpWM,3ha5odm5ld5arw3bkcnh3xryudvvsa,3kakfy4pgyf38twqmssz5kpjhm43ir,mfMGbpWM,2020-0188,2020-06-04,10:44:43,11:03:14,NA,incomplete,2,shape,0,1,left,Red_Triangle_Grid_2.jpg,Blue_Triangle_Chess_4.jpg,Green_Circle_Dots_2.jpg,left,972.8349999932107,true,NA,true
mfMGbpWM,3ha5odm5ld5arw3bkcnh3xryudvvsa,3kakfy4pgyf38twqmssz5kpjhm43ir,mfMGbpWM,2020-0188,2020-06-04,10:44:43,11:03:14,NA,incomplete,3,shape,0,1,left,Blue_Star_Grid_1.jpg,Red_Star_Dots_2.jpg,Purple_Circle_Chess_1.jpg,left,967.3149999871384,true,NA,true
mfMGbpWM,3ha5odm5ld5arw3bkcnh3xryudvvsa,3kakfy4pgyf38twqmssz5kpjhm43ir,mfMGbpWM,2020-0188,2020-06-04,10:44:43,11:03:14,NA,incomplete,4,shape,0,1,left,Red_Triangle_Stripes_1.jpg,Blue_Triangle_Grid_2.jpg,Purple_Plus_Chess_1.jpg,left,782.6100000238512,true,NA,true
mfMGbpWM,3ha5odm5ld5arw3bkcnh3xryudvvsa,3kakfy4pgyf38twqmssz5kpjhm43ir,mfMGbpWM,2020-0188,2020-06-04,10:44:43,11:03:14,NA,incomplete,5,shape,0,1,left,Green_Triangle_Chess_2.jpg,Blue_Triangle_Stripes_3.jpg,Red_Plus_Grid_2.jpg,left,796.8300000065938,true,NA,true
mfMGbpWM,3ha5odm5ld5arw3bkcnh3xryudvvsa,3kakfy4pgyf38twqmssz5kpjhm43ir,mfMGbpWM,2020-0188,2020-06-04,10:44:43,11:03:14,NA,incomplete,6,shape,0,0,left,Purple_Plus_Dots_1.jpg,Red_Plus_Stripes_4.jpg,Blue_Circle_Chess_1.jpg,left,1211.8999999947846,true,NA,true
mfMGbpWM,3ha5odm5ld5arw3bkcnh3xryudvvsa,3kakfy4pgyf38twqmssz5kpjhm43ir,mfMGbpWM,2020-0188,2020-06-04,10:44:43,11:03:14,NA,incomplete,7,shape,0,0,right,Red_Circle_Stripes_4.jpg,Blue_Triangle_Grid_4.jpg,Purple_Circle_Chess_1.jpg,right,943.0149999971036,true,NA,true
mfMGbpWM,3ha5odm5ld5arw3bkcnh3xryudvvsa,3kakfy4pgyf38twqmssz5kpjhm43ir,mfMGbpWM,2020-0188,2020-06-04,10:44:43,11:03:14,NA,incomplete,8,shape,0,1,right,Green_Circle_Stripes_2.jpg,Blue_Star_Dots_2.jpg,Red_Circle_Grid_3.jpg,right,902.4849999987055,true,NA,true
mfMGbpWM,3ha5odm5ld5arw3bkcnh3xryudvvsa,3kakfy4pgyf38twqmssz5kpjhm43ir,mfMGbpWM,2020-0188,2020-06-04,10:44:43,11:03:14,NA,incomplete,9,shape,0,1,right,Blue_Star_Chess_3.jpg,Green_Triangle_Stripes_3.jpg,Red_Star_Grid_1.jpg,right,771.2649999884889,true,NA,true
mfMGbpWM,3ha5odm5ld5arw3bkcnh3xryudvvsa,3kakfy4pgyf38twqmssz5kpjhm43ir,mfMGbpWM,2020-0188,2020-06-04,10:44:43,11:03:14,NA,incomplete,10,shape,0,1,right,Purple_Plus_Dots_3.jpg,Red_Circle_Grid_3.jpg,Blue_Plus_Stripes_1.jpg,right,678.2150000217371,true,NA,true
mfMGbpWM,3ha5odm5ld5arw3bkcnh3xryudvvsa,3kakfy4pgyf38twqmssz5kpjhm43ir,mfMGbpWM,2020-0188,2020-06-04,10:44:43,11:03:14,NA,incomplete,11,shape,0,1,right,Blue_Plus_Stripes_3.jpg,Red_Star_Chess_3.jpg,Purple_Plus_Grid_4.jpg,right,861.6699999838602,true,NA,true
mfMGbpWM,3ha5odm5ld5arw3bkcnh3xryudvvsa,3kakfy4pgyf38twqmssz5kpjhm43ir,mfMGbpWM,2020-0188,2020-06-04,10:44:43,11:03:14,NA,incomplete,12,shape,0,1,left,Red_Triangle_Grid_1.jpg,Green_Triangle_Stripes_3.jpg,Purple_Circle_Chess_1.jpg,left,717.9699999978766,true,NA,true
mfMGbpWM,3ha5odm5ld5arw3bkcnh3xryudvvsa,3kakfy4pgyf38twqmssz5kpjhm43ir,mfMGbpWM,2020-0188,2020-06-04,10:44:43,11:03:14,NA,incomplete,13,shape,0,1,left,Red_Triangle_Grid_2.jpg,Blue_Triangle_Stripes_1.jpg,Purple_Circle_Dots_2.jpg,left,878.33999999566,true,NA,true
mfMGbpWM,3ha5odm5ld5arw3bkcnh3xryudvvsa,3kakfy4pgyf38twqmssz5kpjhm43ir,mfMGbpWM,2020-0188,2020-06-04,10:44:43,11:03:14,NA,incomplete,14,shape,0,1,left,Green_Triangle_Grid_3.jpg,Purple_Triangle_Chess_1.jpg,Red_Circle_Stripes_3.jpg,left,739.289999997709,true,NA,true
mfMGbpWM,3ha5odm5ld5arw3bkcnh3xryudvvsa,3kakfy4pgyf38twqmssz5kpjhm43ir,mfMGbpWM,2020-0188,2020-06-04,10:44:43,11:03:14,NA,incomplete,15,shape,0,1,left,Purple_Plus_Dots_4.jpg,Blue_Plus_Stripes_2.jpg,Red_Triangle_Grid_4.jpg,left,960.9999999811407,true,NA,true
