workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,sequence,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,0,color,0,1,right,Green_Star_Dots_4.jpg,Blue_Star_Grid_3.jpg,Green_Circle_Chess_1.jpg,right,1452.7700000908226,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,1,color,0,0,right,Red_Circle_Chess_1.jpg,Blue_Circle_Grid_4.jpg,Red_Star_Dots_2.jpg,right,727.8549999464303,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,2,color,0,1,left,Red_Circle_Chess_1.jpg,Red_Star_Grid_3.jpg,Blue_Circle_Dots_4.jpg,left,525.8200000971556,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,3,color,0,0,right,Purple_Triangle_Dots_1.jpg,Red_Triangle_Grid_2.jpg,Purple_Circle_Stripes_4.jpg,right,732.5949999503791,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,4,color,0,0,right,Purple_Plus_Dots_3.jpg,Red_Plus_Chess_2.jpg,Purple_Star_Stripes_4.jpg,right,1010.1700001396239,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,5,color,0,1,right,Red_Plus_Grid_1.jpg,Blue_Plus_Chess_2.jpg,Red_Circle_Dots_3.jpg,right,613.405000185594,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,6,color,0,1,right,Green_Circle_Dots_2.jpg,Purple_Circle_Stripes_4.jpg,Green_Plus_Chess_1.jpg,right,513.8249997980893,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,7,color,0,1,left,Red_Star_Dots_3.jpg,Red_Circle_Chess_2.jpg,Green_Star_Grid_4.jpg,left,1046.1899999063462,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,8,color,0,1,right,Purple_Circle_Dots_4.jpg,Red_Circle_Grid_1.jpg,Purple_Star_Chess_3.jpg,right,741.3200000301003,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,9,color,0,1,right,Purple_Star_Grid_4.jpg,Green_Star_Chess_1.jpg,Purple_Circle_Stripes_2.jpg,right,626.7199998255819,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,10,color,0,1,right,Green_Circle_Stripes_1.jpg,Purple_Circle_Dots_4.jpg,Green_Star_Chess_3.jpg,right,642.299999948591,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,11,color,0,1,right,Purple_Plus_Stripes_3.jpg,Blue_Plus_Chess_1.jpg,Purple_Triangle_Dots_4.jpg,right,714.3850000575185,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,12,color,0,1,left,Green_Star_Dots_4.jpg,Green_Triangle_Chess_3.jpg,Red_Star_Grid_1.jpg,left,763.3400000631809,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,13,color,0,1,right,Red_Triangle_Grid_1.jpg,Purple_Triangle_Chess_4.jpg,Red_Plus_Dots_2.jpg,right,649.5550000108778,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,14,color,0,1,left,Red_Circle_Grid_3.jpg,Red_Plus_Chess_4.jpg,Green_Circle_Stripes_1.jpg,left,550.9450000245124,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,15,color,0,1,right,Red_Star_Chess_3.jpg,Blue_Star_Stripes_4.jpg,Red_Plus_Grid_2.jpg,right,532.6249999925494,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,16,color,0,1,right,Blue_Triangle_Chess_2.jpg,Red_Triangle_Stripes_1.jpg,Blue_Plus_Grid_4.jpg,right,606.3100001774728,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,17,color,0,0,right,Purple_Triangle_Stripes_2.jpg,Green_Triangle_Chess_1.jpg,Purple_Circle_Grid_3.jpg,right,653.3749999944121,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,18,color,0,1,right,Purple_Triangle_Chess_3.jpg,Blue_Triangle_Dots_2.jpg,Purple_Star_Stripes_1.jpg,right,612.4250001739711,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,19,color,0,0,right,Purple_Circle_Stripes_1.jpg,Green_Circle_Grid_2.jpg,Purple_Triangle_Dots_4.jpg,right,552.8550001326948,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,20,shape,1,1,left,Blue_Triangle_Dots_2.jpg,Purple_Triangle_Grid_4.jpg,Blue_Circle_Chess_1.jpg,left,854.6299999579787,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,21,shape,1,1,left,Blue_Plus_Chess_2.jpg,Green_Plus_Grid_3.jpg,Blue_Circle_Stripes_1.jpg,left,585.6599998660386,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,22,shape,1,1,left,Purple_Circle_Dots_1.jpg,Red_Circle_Stripes_3.jpg,Purple_Star_Grid_4.jpg,left,603.6300000268966,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,23,shape,1,1,left,Red_Plus_Dots_4.jpg,Purple_Plus_Grid_2.jpg,Red_Circle_Chess_1.jpg,left,854.0299998130649,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,24,shape,1,0,right,Purple_Triangle_Grid_3.jpg,Purple_Star_Chess_2.jpg,Blue_Triangle_Stripes_1.jpg,right,692.0949998311698,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,25,shape,1,1,right,Blue_Plus_Grid_2.jpg,Blue_Circle_Dots_3.jpg,Purple_Plus_Chess_1.jpg,right,677.4200000800192,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,26,shape,1,1,right,Red_Star_Stripes_3.jpg,Red_Plus_Grid_4.jpg,Blue_Star_Chess_2.jpg,right,765.8750000409782,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,27,shape,1,1,left,Green_Circle_Stripes_2.jpg,Purple_Circle_Grid_3.jpg,Green_Triangle_Chess_4.jpg,left,782.9549999441952,true,NA,true
gQPeBk1w,39tx062qy41yb4nrucnyjag7oeq3xx,30lsnf239y8enb07iseumaks7q7i2w,gQPeBk1w,2020-0188,2020-11-17,18:40:02,18:54:34,NA,incomplete,28,shape,1,1,right,Purple_Circle_Stripes_3.jpg,Purple_Star_Grid_2.jpg,Red_Circle_Dots_4.jpg,right,518.8700000289828,true,NA,true
