workerId,hitId,assignmentId,subject,studyid,exp_date,exp_start,exp_end,time_start,time_end,trial,type,reward_validity,answer,image_top,image_left,image_right,response,response_time,response_acc,volatility,practice
1H5laj5o,372ages0j7iqu68t52ou18jnn9hxrx,3awetudc9654tm3j7zn89luyu9gizy,1H5laj5o,2020-0188,2020-05-21,14:02:29,14:22:16,NA,incomplete,0,filling,1,right,Green_Star_Stripes_1.jpg,Blue_Star_Chess_3.jpg,Purple_Plus_Stripes_2.jpg,right,1656.7849999992177,true,NA,true
1H5laj5o,372ages0j7iqu68t52ou18jnn9hxrx,3awetudc9654tm3j7zn89luyu9gizy,1H5laj5o,2020-0188,2020-05-21,14:02:29,14:22:16,NA,incomplete,1,filling,1,right,Red_Triangle_Chess_3.jpg,Green_Triangle_Dots_4.jpg,Blue_Plus_Chess_2.jpg,right,1426.1499999993248,true,NA,true
1H5laj5o,372ages0j7iqu68t52ou18jnn9hxrx,3awetudc9654tm3j7zn89luyu9gizy,1H5laj5o,2020-0188,2020-05-21,14:02:29,14:22:16,NA,incomplete,2,filling,1,right,Red_Plus_Dots_1.jpg,Green_Plus_Chess_2.jpg,Blue_Circle_Dots_3.jpg,right,985.4699999996228,true,NA,true
1H5laj5o,372ages0j7iqu68t52ou18jnn9hxrx,3awetudc9654tm3j7zn89luyu9gizy,1H5laj5o,2020-0188,2020-05-21,14:02:29,14:22:16,NA,incomplete,3,filling,1,right,Green_Star_Dots_4.jpg,Blue_Star_Stripes_3.jpg,Red_Circle_Dots_2.jpg,right,1291.42999999749,true,NA,true
1H5laj5o,372ages0j7iqu68t52ou18jnn9hxrx,3awetudc9654tm3j7zn89luyu9gizy,1H5laj5o,2020-0188,2020-05-21,14:02:29,14:22:16,NA,incomplete,4,filling,0,right,Green_Triangle_Stripes_2.jpg,Red_Triangle_Chess_4.jpg,Purple_Plus_Stripes_3.jpg,right,882.1900000039022,true,NA,true
1H5laj5o,372ages0j7iqu68t52ou18jnn9hxrx,3awetudc9654tm3j7zn89luyu9gizy,1H5laj5o,2020-0188,2020-05-21,14:02:29,14:22:16,NA,incomplete,5,filling,0,right,Blue_Star_Dots_2.jpg,Purple_Star_Chess_4.jpg,Green_Plus_Dots_3.jpg,right,1211.1149999982445,true,NA,true
1H5laj5o,372ages0j7iqu68t52ou18jnn9hxrx,3awetudc9654tm3j7zn89luyu9gizy,1H5laj5o,2020-0188,2020-05-21,14:02:29,14:22:16,NA,incomplete,6,filling,1,right,Blue_Star_Stripes_3.jpg,Red_Star_Dots_1.jpg,Green_Triangle_Stripes_2.jpg,right,1390.4399999883026,true,NA,true
1H5laj5o,372ages0j7iqu68t52ou18jnn9hxrx,3awetudc9654tm3j7zn89luyu9gizy,1H5laj5o,2020-0188,2020-05-21,14:02:29,14:22:16,NA,incomplete,7,filling,1,right,Blue_Star_Stripes_4.jpg,Red_Star_Chess_1.jpg,Purple_Plus_Stripes_2.jpg,right,970.0149999989662,true,NA,true
1H5laj5o,372ages0j7iqu68t52ou18jnn9hxrx,3awetudc9654tm3j7zn89luyu9gizy,1H5laj5o,2020-0188,2020-05-21,14:02:29,14:22:16,NA,incomplete,8,filling,1,right,Purple_Circle_Chess_1.jpg,Blue_Circle_Grid_2.jpg,Red_Plus_Chess_4.jpg,right,998.5849999939092,true,NA,true
1H5laj5o,372ages0j7iqu68t52ou18jnn9hxrx,3awetudc9654tm3j7zn89luyu9gizy,1H5laj5o,2020-0188,2020-05-21,14:02:29,14:22:16,NA,incomplete,9,filling,1,right,Red_Plus_Chess_2.jpg,Blue_Plus_Dots_1.jpg,Purple_Circle_Chess_4.jpg,right,1625.3400000132388,true,NA,true
